"date","vendor","product","description","price","from","to"
"2014-01-01","3dames","10 mg x 30 Hydroxyzine (Atarax) Opiate Potentiator (free shipping)","10 mg x 30 Hydroxyzine (Atarax) Opiate Potentiator (free shipping) Top-quality generic of Atarax. Hydroxyzine is a powerful and safe antihistamine opiate potentiator with many other uses. More information will be added later. Hydroxyzine is not controlled in most ...",0.04126346,"undeclared","Worldwide"
"2014-01-01","3dames","Fluoxetine (Prozac) 20 mg x 90 (free shipping)","Fluoxetine (Prozac) 20 mg x 90 (free shipping) Branded generic of fluoxetine (Prozac)  the original and still one of the most-widely prescribed anti-depressant SSRIs. This is a top-quality white market product and it was the most popular fluoxeti ...",0.09983095,"undeclared","Worldwide"
"2014-01-01","3dames","Midazolam (Dormicum) 15 mg x 20 (free shipping)","Midazolam (Dormicum) 15 mg x 20 (free shipping) This midazolam is the original brand-name Dormicum from Hoffman-LaRoche. It is NOT the blister or loose package ""Dormicum"" version made in India/Pakistan. Each tablet is 15 mg full strength guarantee ...",0.12112822,"undeclared","Worldwide"
"2014-01-01","3dames","Sertraline (Zoloft) 50 mg x 30 (free shipping)","Sertraline (Zoloft) 50 mg x 30 (free shipping) Branded generic of sertraline (Zoloft)  the no. 1 most-widely prescribed anti-depressant SSRI. This is a top-quality white market product and it was the most popular sertraline item on the original S ...",0.04126346,"undeclared","Worldwide"
"2014-01-01","3dames","10 mg x 60 Hydroxyzine (Atarax) Opiate Potentiator (free shipping)","10 mg x 60 Hydroxyzine (Atarax) Opiate Potentiator (free shipping) Top-quality generic of Atarax. Hydroxyzine is a powerful and safe antihistamine opiate potentiator with many other uses. More information will be added later. Hydroxyzine is not controlled in most ...",0.06522288,"undeclared","Worldwide"
"2014-01-01","3dames","Midazolam (Dormicum) 15 mg x 10 (free shipping)","Midazolam (Dormicum) 15 mg x 10 (free shipping) This midazolam is the original brand-name Dormicum from Hoffman-LaRoche. It is NOT the blister or loose package ""Dormicum"" version made in India/Pakistan. Each tablet is 15 mg full strength guarantee ...",0.06522288,"undeclared","Worldwide"
"2014-01-01","3dames","Gabapentin (Neurontin) 300 mg x 30 Withdrawal Aid (free shipping)","Gabapentin (Neurontin) 300 mg x 30 Withdrawal Aid (free shipping) Top-quality generic of Neurontin  gabapentin is widely used for benzo and opiate withdrawal. More info added later. Please do your own research for dosage schedule. Gabapentin is not controlled ...",0.04658777,"undeclared","Worldwide"
"2014-01-01","3dames","Beta-blocker Propranolol (Inderal) 40 mg x 20 (USA ONLY SPECIAL, FREE SHIP)","Beta-blocker Propranolol (Inderal) 40 mg x 20 (USA ONLY SPECIAL  FREE SHIP) (This is the high dosage listing recommended only for experienced propranolol users seeking high dosage or who want to save money on a 20 mg or less dose by breaking the tablet at the score. Otherwis ...",0.05058101,"undeclared","USA"
"2014-01-01","3dames","Diazepam (Valium) 10 mg x 50 (free shipping)","Diazepam (Valium) 10 mg x 50 (free shipping) The classic benzo diazepam. This product is a high-quality branded generic of Valium. Like all my other items  this is a branded and white market pharmaceutical product. It is NOT ""Valium"" made in In ...",0.07986476,"undeclared","Worldwide"
"2014-01-01","aaapee911","Cocaine Grade A+ x 0.5 gram","Cocaine Grade A+ x 0.5 gram Grade A+ .5 grams custom for 1.5 or 2.5 g orders",0.08678237,"USA","USA"
"2014-01-01","aaapee911","Cocaine Grade A+ x 1 gram","Cocaine Grade A+ x 1 gram Very smooth  top shelf fire – Consistently great reviews from coke conneseuirs. Not speedy but more euphoric and uppity. EZTest purity shows very high purity. PROFILE CONTAINS GENERAL TERMS & SHIP ...",0.16021361,"USA","USA"
"2014-01-01","aaapee911","Suboxone 8mg Strip x 1 strip","Suboxone 8mg Strip x 1 strip INTERNATIONAL AVAILABLE ONLY FOR Final Early & Full Risk Acceptance (i.e. no reships if seized). Limited stock (check weekly – inventory is up to date). Fresh from US pharm  name brand 8 mg strips. ...",0.03337783,"USA",NA
"2014-01-01","aaapee911","MDMA Crystals Grade A- x 1 gram","MDMA Crystals Grade A- x 1 gram Good quality  long roll. Not best but not bad at all for US based stuff. Usually a white to light tan powdery w/ small moonrock look/texture. PROFILE CONTAINS GENERAL TERMS & SHIP INFO.",0.12016021,"USA",NA
"2014-01-01","aaapee911","MDMA Cystals Grade B x 1 gram","MDMA Cystals Grade B x 1 gram Decent quality  decent length roll. Not quite as good as the grade A but definitely decent roll for the money. Usually a darker  rockier tan to brown texture/color. PROFILE CONTAINS GENERAL TERMS ...",60,"USA",NA
"2014-01-01","aaapee911","Cocaine Grade B x 1 gram","Cocaine Grade B x 1 gram Decent quality but cut more than the top shelf stuff. Has a more numbing  freezy face feeling. Some people prefer this over grade A+ stuff as its always subjective. PROFILE CONTAINS GENERAL TERMS ...",0.12016021,"USA",NA
"2014-01-01","aaapee911","Cocaine - Grade A+ x 4 grams","Cocaine - Grade A+ x 4 grams Top shelf grade A+",0.53404539,"USA",NA
"2014-01-01","Adderall","Promethezine w/Codeine Syrup","Promethezine w/Codeine Syrup 2 fl. oz Qualitest Promethezine with Codeine cough syrup Get screwed up with ""dat Purple Drank"" - 20 oz Sprite and double Styrofoam cup not included!",0.0595238,"USA",NA
"2014-01-01","Adderall","20 x 20 mg Adderall IR tablets (Monthly Subscription)","20 x 20 mg Adderall IR tablets (Monthly Subscription) TWENTY x 20 mg Adderall IR tablets EVERY MONTH (D-Amphetamine Salts) Buy a subscription and delivery is guaranteed ON SCHEDULE every 30 days! Priority shipping is included in the price. Just 3 su ...",0.44642857,"USA",NA
"2014-01-01","Adderall","60 x 20 mg Adderall IR tablets (Monthly Subscription)","60 x 20 mg Adderall IR tablets (Monthly Subscription) We are looking for one lucky buyer to purchase SIXTY x 20 mg Adderall IR tablets (either orange or pink) EVERY MONTH! You will receive 60 tablets each month on schedule GUARANTEED with priority shipp ...",1.25,"USA","USA"
"2014-01-01","Addyshack","1g Amphetamine Paste (Speed) 68-70%","1g Amphetamine Paste (Speed) 68-70% Usage guide: - If you have no experience with high-grade speed  I suggest not taking more than .05g (50mg) for your first dosage. - .05g is roughly equilavent to a 30mg tab of Adderall. - Us ...",0.03335557,"USA","USA"
"2014-01-01","Addyshack","2g Amphetamine Paste (Speed) 68-70%","2g Amphetamine Paste (Speed) 68-70% Usage guide: - If you have no experience with high-grade speed  I suggest not taking more than .05g (50mg) for your first dosage. - .05g is roughly equilavent to a 30mg tab of Adderall. - Us ...",0.06004002,"USA",NA
"2014-01-01","AfghanApothecary","1/4G PURE CRYSTAL  MPA  METHAMPHETAMINE  ANALOGUE","1/4G PURE CRYSTAL MPA METHAMPHETAMINE ANALOGUE PURE CRYSTAL METHIOPROAMINE THIS IS A THIOPHENE ANALOGUE OF METH THIS MPA IS A UNIQUE STIMULANT WITH ITS OWN TEXTURE AND TASTE AND SHOULD BE ENJOYED FOR WHAT IT IS IN OUR OPINION CRYSTAL MPA ...",0.03984063,NA,NA
"2014-01-01","AfghanApothecary","UK PRESCRIPTION HIGHEST DOSE FENTANYL PATCH STRONGEST OPIOID PAIN KILLER","UK PRESCRIPTION HIGHEST DOSE FENTANYL PATCH STRONGEST OPIOID PAIN KILLER TRANSDERMAL FENTANYL PATCH 100MCG/HR DOSE FOR 3 DAYS RAPID DELIVERY COMPETITIVE PRICE ONLY AT AA'S STRONGEST OPIOID ON THE PLANET HIGHEST DOSE AVAILABLE RELEASING 100MCG/HR FOR 72 HOURS ...",0.16600265,"UK","WORLDWIDE"
"2014-01-01","AfghanApothecary","0.2 GOOD BROWN #3 HEROIN","0.2 GOOD BROWN #3 HEROIN 0.2 BAGS OF GOOD QUALITY BROWN HEROIN UK ONLY NO MESS NO FUSS YOU ORDER WE DELIVER FREE POST",0.03984063,"UK",NA
"2014-01-01","AfghanApothecary","3.5g SUPER STRONG SPEED HIGH PURITY AMPHETAMINE","3.5g SUPER STRONG SPEED HIGH PURITY AMPHETAMINE ONLY $50 FOR 3.5G STRONG CLEAN HIGH PURITY AMPHETAMINE SULPHATE UK BASE PASTE STRAIGHT FROM THE FRIDGE AND STINKS INTERNATIONAL ORDERS WELCOME....ALTHOUGH MOST WILL BE ASKED TO FE DUE TO MAR ...",0.06640106,"EU",NA
"2014-01-01","AfghanApothecary","1 GRAM STRONG AMPHETAMINE SULPHATE","1 GRAM STRONG AMPHETAMINE SULPHATE A VERY POPULAR BATCH WHICH WILL KEEP YOU PARTYING WELL INTO THE NEW YEAR STORED IN THE FRIDGE THIS IS PROPER STINKY BASE PASTE VERY STRONG BASE SPEED MUCH STRONGER THAN THE USUAL UK SPEED B ...",0.02656042,"UK",NA
"2014-01-01","AfghanApothecary","100mg PURE AH-7921 RARE OPIOID","100mg PURE AH-7921 RARE OPIOID PURE AH-7921 FROM A GENUINE SOURCE 0.1 TESTERS ONLY $15 THE CHANCE TO TRY A RARE OPIOID THIS IS WHAT WILKI SAYS ABOUT IT: AH-7921 is an opioid analgesic drug selective for the µ-opioid recep ...",0.01992031,"UK",NA
"2014-01-01","AfghanApothecary","0.25 AFGHAN #3 HEROIN FREE WORLDWIDE DELIVERY","0.25 AFGHAN #3 HEROIN FREE WORLDWIDE DELIVERY 250MG BROWN #3 AFGHAN HEROIN HIGH QUALITY DIAMORPHINE BASE FREE WORLDWIDE DELIVERY ESCROW ONLY ON DOMESTIC ORDERS PLEASE",0.07304116,"UK",NA
"2014-01-01","AfghanApothecary","0.5G AFGHAN #3 HEROIN FREE WORLDWIDE DELIVERY","0.5G AFGHAN #3 HEROIN FREE WORLDWIDE DELIVERY 500MG BROWN #3 AFGHAN HEROIN HIGH QUALITY DIAMORPHINE BASE FREE WORLDWIDE DELIVERY ESCROW ONLY ON DOMESTIC ORDERS PLEASE",0.13944223,"UK",NA
"2014-01-01","AfghanApothecary","1 GRAM OF FINEST CREAMY HASH DIRECT FROM NEPAL","1 GRAM OF FINEST CREAMY HASH DIRECT FROM NEPAL HASH LOVERS THIS IS A TOP SMOKE CREAMY STRONG HASH WITH A RELAXING DREAMY HIGH FRESH AROMA NICE SOFT AND STICKY SOME OF THE BEST HASH ON THE PLANET FREE UK POST",0.02656042,"UK",NA
"2014-01-01","AfghanApothecary","1/2 GRAM VERY NICE BROWN HEROIN #3 FOR UK","1/2 GRAM VERY NICE BROWN HEROIN #3 FOR UK 0.5 BAGS OF GOOD QUALITY BROWN HEROIN UK ONLY NO MESS NO FUSS YOU ORDER WE DELIVER FREE POST",0.08632138,NA,NA
"2014-01-01","agatha","1g Racemic Ketamine","1g Racemic Ketamine 1 gram of amazing quality racemic Ketamine  imported straight from India so no worries about customs. Shipped with stealth 1st class.",0.03461446,"UK","Worldwide"
"2014-01-01","agatha","5g Racemic Ketamine","5g Racemic Ketamine 5 grams of amazing quality racemic Ketamine  imported straight from India so no worries about customs.",0.15516829,"UK","Worldwide"
"2014-01-01","agatha","0.5g Racemic Ketamine (FREE SAMPLE)","0.5g Racemic Ketamine (FREE SAMPLE) Free sample of our Ketamine to build reputation. 1 per customer. Please send address via PGP key in our profile. Thanks  A x",0.0011936,"UK","Worldwide"
"2014-01-01","AH1906","STANDARD WEED A+","STANDARD WEED A+ 1G of my finest Standard Weed from Dutch Producer. THC: ~16% Before order have a look into my Page!",0.01829105,"Germany","Europe"
"2014-01-01","AH1906","Amnesia Haze (2g)","Amnesia Haze (2g) I'm offering here 2g of my finest Dutch Amnesia Haze. THC: ~22%",0.05206942,"Germany","Worldwide"
"2014-01-01","AH1906","Amnesia Haze (10g)","Amnesia Haze (10g) I'm offering here 10g of my finest Dutch Amnesia Haze. THC: ~22%",0.22029372,"Germany","Worldwide"
"2014-01-01","AH1906","Amnesia Haze (50g)","Amnesia Haze (50g) I'm offering here 50g of my finest Dutch Amnesia Haze. THC: ~22%",0.93457943,"Germany","Worldwide"
"2014-01-01","AH1906","Herbal Life Pill's (2x 100-110mg MDMA)","Herbal Life Pill's (2x 100-110mg MDMA) Offering Herbal Life Pills. This Listing contains 2 Pills! contains 100-110mg clean MDMA. Please look into my Info Page before ordering!",0.02202937,"Germany","Worldwide"
"2014-01-01","AH1906","LSD Bicycle Blotters (50x ~110ug LSD)","LSD Bicycle Blotters (50x ~110ug LSD) I'm offering here the Albert Hofmann Bicycle Blotters (~110ug finest LSD). This Listing contains 50x Blotters.",0.44726301,"Germany","Worldwide"
"2014-01-01","AH1906","Herbal Life Pill's (25x 100-110mg MDMA)","Herbal Life Pill's (25x 100-110mg MDMA) Offering Herbal Life Pills. This Listing contains 25 Pills! contains 100-110mg clean MDMA. Please look into my Info Page before ordering!",0.13217623,"Germany","Worldwide"
"2014-01-01","AH1906","LSD Bicycle Blotters (100x ~110ug LSD)","LSD Bicycle Blotters (100x ~110ug LSD) I'm offering here the Albert Hofmann Bicycle Blotters (~110ug finest LSD). This Listing contains 100x Blotters.",0.73431241,"Germany","Worldwide"
"2014-01-01","AH1906","LSD Bicycle Blotters (10x ~110ug LSD)","LSD Bicycle Blotters (10x ~110ug LSD) I'm offering here the Albert Hofmann Bicycle Blotters (~110ug finest LSD). This Listing contains 10x Blotters.",0.1188251,"Germany","Worldwide"
"2014-01-01","AH1906","Amnesia Haze (100g)","Amnesia Haze (100g) I'm offering here 100g of my finest Dutch Amnesia Haze. THC: ~22%",1.46862483,"Germany",NA
"2014-01-01","AlbertHoffman1943","5 hits Grateful Family LSD-25 Blotter (125ug)","5 hits Grateful Family LSD-25 Blotter (125ug) Hey now  READ ALL THE WAY TO THE END I have a fresh batch of the cleanest  purest  goody-good Grateful Dead Family LSD from the finest chemists in the world who got millions of people high thr ...",0.05324317,"Worldwide",NA
"2014-01-01","AlbertHoffman1943","NO FE - 2 hits Grateful Dead Family LSD-25 (125ug)","NO FE - 2 hits Grateful Dead Family LSD-25 (125ug) I have a fresh batch of the cleanest  purest  goody-good Grateful Dead Family LSD from the finest chemists in the world who got millions of people high through the Grateful Dead scene in the 70s  80s ...",0.02662158,"USA","Canada"
"2014-01-01","AlbertHoffman1943","100 hits Grateful Dead Family LSD-25 Blotter (125ug)","100 hits Grateful Dead Family LSD-25 Blotter (125ug) Hey now  READ ALL THE WAY TO THE BOTTOM I have a fresh batch of the cleanest  purest  goody-good Grateful Dead Family LSD from the finest chemists in the world who got millions of people high t ...",0.88516778,"Worldwide",NA
"2014-01-01","AlbertHoffman1943","25 hits Grateful Family LSD-25 Blotter (125ug)","25 hits Grateful Family LSD-25 Blotter (125ug) Hey now  READ ALL THE WAY TO THE BOTTOM I have a fresh batch of the cleanest  purest  goody-good Grateful Dead Family LSD from the finest chemists in the world who got millions of people high t ...",0.25956047,"Worldwide",NA
"2014-01-01","AlbertHoffman1943","10 hits Grateful Family LSD-25 Blotter (125ug)","10 hits Grateful Family LSD-25 Blotter (125ug) Hey now  READ ALL THE WAY TO THE BOTTOM As usual  I have a fresh batch of the cleanest  purest  goody-good Grateful Dead Family LSD from the finest chemists in the world who got millions of peopl ...",0.10648634,"Worldwide",NA
"2014-01-01","Althea","2C-P - 250mg","2C-P - 250mg 250mg of 2c-p Shipped to USA from USA Discreet and fast shipping",0.0801068,"USA","USA"
"2014-01-01","Althea","5-MeO-DMT - 250mg","5-MeO-DMT - 250mg 250 mg of 5-MeO-DMT Stealth delivery fast and safe",0.0801068,"USA","USA"
"2014-01-01","Althea","LSD x 10 Clean Hits - Family Fluff","LSD x 10 Clean Hits - Family Fluff Low stock on these. I have just personally sampled this LSD. It is Family Fluff. Very Very Clean. Very potent. Beautiful. white on white (wow) unperf about 150ug per hit limited ti ...",0.11348464,"USA","USA"
"2014-01-01","alwaysright","Fentanyl 100mcg/h Pachtch 23,12mg Sandoz ""Highest DOSE Patch!!!","Fentanyl 100mcg/h Pachtch 23 12mg Sandoz ""Highest DOSE Patch!!! This Order is for 1 x 100mcgh Fentanyl Patch wit 23 12mg Fentanyl inside from SANDOZ !!! Highest Dose Patch!!! NO GEL u can ALL USE with it !!! This order is with ESCROW !!! Please read ...",0.17976271,"Germany","World"
"2014-01-01","alwaysright","80mg Oxycodon ""OC"" Original Mundipharma!!!SAMPLE PRICE!","80mg Oxycodon ""OC"" Original Mundipharma!!!SAMPLE PRICE! This Order is for 1 x 80mg Oxycodon "" OC´s""from Mundipharma!!! Oxycontin/Oxynorm/Oxygesic all the same Product from Mundipharma!!! Original German OXYGESIC !!!! Sending outside of Germany mu ...",0.06844298,"Germany","World"
"2014-01-01","alwaysright","80mg Oxycodon ""OC"" Original Mundipharma!!!SAMPLE PRICE!","80mg Oxycodon ""OC"" Original Mundipharma!!!SAMPLE PRICE! This Order is for 1 x 80mg Oxycodon "" OC´s""from Mundipharma!!! Oxycontin/Oxynorm/Oxygesic all the same Product from Mundipharma!!! Original German OXYGESIC !!!! This order is with Escrow!!! ...",0.07190508,"Germany",NA
"2014-01-01","alwaysright","80mg Oxycodon ""OC"" Original Mundipharma!!!SAMPLE PRICE!","80mg Oxycodon ""OC"" Original Mundipharma!!!SAMPLE PRICE! This Order is for 1 x 80mg Oxycodon "" OC´s""from Mundipharma!!! Oxycontin/Oxynorm/Oxygesic all the same Product from Mundipharma!!! Original German OXYGESIC !!!! This order is with Escrow !!! ...",0.07190508,"Germany",NA
"2014-01-01","alwaysright","80mg Oxycodon ""OC"" Original Mundipharma!!!SAMPLE PRICE!","80mg Oxycodon ""OC"" Original Mundipharma!!!SAMPLE PRICE! This Order is for 1 x 80mg Oxycodon "" OC´s""from Mundipharma!!! Oxycontin/Oxynorm/Oxygesic all the same Product from Mundipharma!!! Original German OXYGESIC !!!! This order is with ESCROW !!! ...",0.07190508,"Germany",NA
"2014-01-01","alwaysright","Oxycodon 10mg""OXYGESIC AKUT"" FAST RELEASE! from Mundipharma","Oxycodon 10mg""OXYGESIC AKUT"" FAST RELEASE! from Mundipharma This oderis for 1 x 10mg Oxycodon "" Oxygesic Akut from Mundipharma !!! THE ORIGINAL WITH FAST RELEASE !!! For all Use!! U dont need crush its ready and kicked verry fast !!! Very rare an ...",0.03595254,NA,NA
"2014-01-01","alwaysright","5x80mg Oxycodon ""OC"" Original Mundipharma!!!SAMPLE PRICE!","5x80mg Oxycodon ""OC"" Original Mundipharma!!!SAMPLE PRICE! This Order is for 5 x 80mg Oxycodon "" OC´s""from Mundipharma!!! Oxycontin/Oxynorm/Oxygesic all the same Product from Mundipharma!!! Original German OXYGESIC !!!! Sending outside of Germany mu ...",0.35686227,"German","World"
"2014-01-01","alwaysright","5xFentanyl 100mcg/h Pachtch 23,12mg Sandoz ""Highest DOSE Patch!!!","5xFentanyl 100mcg/h Pachtch 23 12mg Sandoz ""Highest DOSE Patch!!! This Order is for 5 x 100mcgh Fentanyl Patch wit 23 12mg Fentanyl inside from SANDOZ !!! Highest Dose Patch!!! NO GEL u can ALL USE with it !!! German/Domestic can order wit ESCROW !!! Pl ...",0.77231387,"Germany","World"
"2014-01-01","alwaysright","Fentanyl 100mcg/h Pachtch 23,12mg Sandoz ""Highest DOSE Patch!!!","Fentanyl 100mcg/h Pachtch 23 12mg Sandoz ""Highest DOSE Patch!!! This Order is for 1 x 100mcgh Fentanyl Patch wit 23 12mg Fentanyl inside from SANDOZ !!! Highest Dose Patch!!! NO GEL u can ALL USE with it !!! German/Domestic can order wit ESCROW !!! Pl ...",17.04416836,NA,NA
"2014-01-01","alwaysright","20x80mg Oxycodon ""OC"" Original Mundipharma!!!SAMPLE PRICE!","20x80mg Oxycodon ""OC"" Original Mundipharma!!!SAMPLE PRICE! This Order is for 20 x 80mg Oxycodon "" OC´s""from Mundipharma!!! Oxycontin/Oxynorm/Oxygesic all the same Product from Mundipharma!!! Original German OXYGESIC !!!! Sending outside of Germany m ...",1.07058682,"Germany",NA
"2014-01-01","alwaysright","Fentanyl Patch 75mcg 1A Pharma 17,34mg ! SAMPLE PRICE!!!","Fentanyl Patch 75mcg 1A Pharma 17 34mg ! SAMPLE PRICE!!! This Listing is for 1 x 75mcg/h Fentanyl Matrix Patch wit 17 34mg Fentanyl inside  1A Pharma!!! NO GEL PATCH!!!! This order is with Escrow !!! Please read Profile before u Order! When u h ...",0.13315756,"Germany","World"
"2014-01-01","alwaysright","80mg Oxycodon ""OC"" Original Mundipharma!!!SAMPLE PRICE!","80mg Oxycodon ""OC"" Original Mundipharma!!!SAMPLE PRICE! This Order is for 1 x 80mg Oxycodon "" OC´s""from Mundipharma!!! Oxycontin/Oxynorm/Oxygesic all the same Product from Mundipharma!!! Original German OXYGESIC !!!! This order is with Escrow!!! ...",0.07190508,"Germany","World"
"2014-01-01","alwaysright","5x80mg Oxycodon ""OC"" Original Mundipharma!!!SAMPLE PRICE!","5x80mg Oxycodon ""OC"" Original Mundipharma!!!SAMPLE PRICE! This Order is for 5 x 80mg Oxycodon "" OC´s""from Mundipharma!!! Oxycontin/Oxynorm/Oxygesic all the same Product from Mundipharma!!! Original German OXYGESIC !!!! Sending outside of Germany mu ...",0.31957815,NA,NA
"2014-01-01","alwaysright","Fentanyl Patch 75mcg 1A Pharma 17,34mg ! SAMPLE PRICE!!!","Fentanyl Patch 75mcg 1A Pharma 17 34mg ! SAMPLE PRICE!!! This Listing is for 1 x 75mcg/h Fentanyl Matrix Patch wit 17 34mg Fentanyl inside  1A Pharma!!! NO GEL PATCH!!!! This order is with Escrow !!! Please read Profile before u Order! When u h ...",0.13315756,NA,NA
"2014-01-01","alwaysright","10x80mg Oxycodon ""OC"" Original Mundipharma!!!SAMPLE PRICE!","10x80mg Oxycodon ""OC"" Original Mundipharma!!!SAMPLE PRICE! This Order is for 10 x 80mg Oxycodon "" OC´s""from Mundipharma!!! Oxycontin/Oxynorm/Oxygesic all the same Product from Mundipharma!!! Original German OXYGESIC !!!! Sending outside of Germany m ...",0.59288405,"Germany","World"
"2014-01-01","alwaysright","80mg Oxycodon ""OC"" Original Mundipharma!!!SAMPLE PRICE!","80mg Oxycodon ""OC"" Original Mundipharma!!!SAMPLE PRICE! This Order is for 1 x 80mg Oxycodon "" OC´s""from Mundipharma!!! Oxycontin/Oxynorm/Oxygesic all the same Product from Mundipharma!!! Original German OXYGESIC !!!! This order is with ESCROW!!! ...",0.07190508,"Germany",NA
"2014-01-01","Amsterdamngood","25x 20mg Methadone pills","25x 20mg Methadone pills 20mg Methadone pills",0.23,"Netherlands",NA
"2014-01-01","Amsterdamngood","1G Mdma Crystals 82%","1G Mdma Crystals 82% Pure Crystal 82#",0.041,"Netherlands",NA
"2014-01-01","Amsterdamngood","2.5G Mdma Crystals 82%","2.5G Mdma Crystals 82% Pure Crystal 82%",0.1,"Netherlands",NA
"2014-01-01","Amsterdamngood","5G Mdma Crystals 82%","5G Mdma Crystals 82% Pure Crystal 82%",0.18,"Netherlands",NA
"2014-01-01","Amsterdamngood","10G Mdma Crystals 82%","10G Mdma Crystals 82% Pure Crystal",0.35,"Netherlands",NA
"2014-01-01","Amsterdamngood","Green Partyflock 200mg SAMPLE","Green Partyflock 200mg SAMPLE Sample. Max 1 a person!!",0.004,"Netherlands",NA
"2014-01-01","Amsterdamngood","0.25mdma Crystal 82% SAMPLE","0.25mdma Crystal 82% SAMPLE Pure Crystals 82% Max 1 a person.",0.006,"Netherlands",NA
"2014-01-01","Amsterdamngood","0.25 Cocaine 80%","0.25 Cocaine 80% Cocaine 80% Max 1 a person.",0.02,NA,NA
"2014-01-01","Amsterdamngood","garyhund 35gram powerplant","garyhund 35gram powerplant custom",0.4,"Netherlands",NA
"2014-01-01","Amsterdamngood","3G Power plant","3G Power plant High Grade weed",0.042,"Netherlands",NA
"2014-01-01","Amsterdamngood","5G Power plant","5G Power plant High Grade weed",0.071,"Netherlands",NA
"2014-01-01","Amsterdamngood","10G Power plant","10G Power plant High Grade weed",0.133,"Netherlands",NA
"2014-01-01","Amsterdamngood","25G Power plant","25G Power plant High Grade weed",0.29,"Netherlands",NA
"2014-01-01","Amsterdamngood","2.5G Cocaine 80%","2.5G Cocaine 80% Cocaine 80%",0.32,"Netherlands",NA
"2014-01-01","Amsterdamngood","5G Cocaine 80%","5G Cocaine 80% Cocaine 80%",0.622,"Netherlands",NA
"2014-01-01","Amsterdamngood","1G Cocaine 80%","1G Cocaine 80% Cocaine 80%",0.133,"Netherlands",NA
"2014-01-01","Amsterdamngood","5x Green Partyflock","5x Green Partyflock 200mg mdma pills",0.054,"Netherlands",NA
"2014-01-01","Amsterdamngood","10x Green Partyflock","10x Green Partyflock 200mg mdma",0.09,"Netherlands",NA
"2014-01-01","Amsterdamngood","25x Green Partyflock","25x Green Partyflock 200mg mdma pills",0.18,"Netherlands",NA
